year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,30,30-34,438866,WA,Pacific,19511370,39,8.886539399269937e-5,-9.328387760152747
1999,30,30-34,499442,MA,New England,19511370,59,1.1813183512800286e-4,-9.043709310306912
1999,30,30-34,544128,VA,South Atlantic,19511370,27,4.962067748764997e-5,-9.911102926274078
1999,30,30-34,605279,NC,South Atlantic,19511370,19,3.139048273606056e-5,-10.36900580857111
1999,30,30-34,656082,GA,South Atlantic,19511370,8,1.2193597751500575e-5,-11.314599518434541
1999,30,30-34,656599,NJ,Middle Atlantic,19511370,39,5.9396983547035555e-5,-9.731267114921565
1999,30,30-34,709928,MI,East North Central,19511370,11,1.5494529022661453e-5,-11.075023562626239
1999,30,30-34,788462,OH,East North Central,19511370,16,2.0292671048192557e-5,-10.805250769213055
1999,30,30-34,829015,PA,Middle Atlantic,19511370,41,4.945628245568536e-5,-9.914421461338693
1999,30,30-34,928426,IL,East North Central,19511370,62,6.677968949598568e-5,-9.614111573115375
1999,30,30-34,1098372,FL,South Atlantic,19511370,39,3.550709595656116e-5,-10.245777995357155
1999,30,30-34,1468598,NY,Middle Atlantic,19511370,86,5.855925174894695e-5,-9.745471465904004
1999,30,30-34,1567480,TX,West South Central,19511370,44,2.807053359532498e-5,-10.480790158318898
1999,30,30-34,2714559,CA,Pacific,19511370,161,5.9309817911491334e-5,-9.73273570223315
1999,35,35-39,46507,DC,South Atlantic,22179956,6,1.2901283677725934e-4,-8.955598648652149
1999,35,35-39,50052,VT,New England,22179956,3,5.9937664828578277e-05,-9.722205455316836
1999,35,35-39,57719,AK,Pacific,22179956,7,1.2127722240510057e-4,-9.01743153866509
1999,35,35-39,64858,DE,South Atlantic,22179956,7,1.0792808905609177e-4,-9.134045394684561
1999,35,35-39,68606,MT,Mountain,22179956,1,1.4575984607760255e-5,-11.136135273446113
1999,35,35-39,85892,RI,New England,22179956,8,9.314022260513202e-5,-9.281404430407187
1999,35,35-39,95958,ID,Mountain,22179956,4,4.1684903812084455e-5,-10.085371513599036
1999,35,35-39,97285,HI,Pacific,22179956,3,3.083723081667266e-5,-10.386787805237367
1999,35,35-39,105434,ME,New England,22179956,11,1.0433067132044692e-4,-9.16794517091824
1999,35,35-39,111031,NH,New England,22179956,4,3.602597472777873e-5,-10.23127035946266
1999,35,35-39,131891,WV,South Atlantic,22179956,2,1.5164036969922133e-5,-11.096583922307214
1999,35,35-39,132900,NE,West North Central,22179956,1,7.524454477050414e-6,-11.797352244701337
1999,35,35-39,143231,NM,Mountain,22179956,46,3.211595255217097e-4,-8.043572594038004
1999,35,35-39,151548,UT,Mountain,22179956,26,1.7156280518383613e-4,-8.670561147412688
1999,35,35-39,163817,NV,Mountain,22179956,25,1.526093140516552e-4,-8.787629405251389
1999,35,35-39,199896,AR,West South Central,22179956,6,3.0015608116220435e-5,-10.41379304105523
1999,35,35-39,211714,KS,West North Central,22179956,4,1.8893412811623227e-5,-10.87669722513439
1999,35,35-39,213445,MS,East South Central,22179956,4,1.8740190681440185e-5,-10.884840106102232
1999,35,35-39,221799,IA,West North Central,22179956,4,1.803434641274307e-5,-10.923232484202073
1999,35,35-39,260244,OR,Pacific,22179956,26,9.990624183458601e-5,-9.211278393434926
1999,35,35-39,264617,OK,West South Central,22179956,11,4.1569513674480475e-5,-10.088143503722204
1999,35,35-39,293075,CT,New England,22179956,38,1.2965964343598056e-4,-8.950597668213643
1999,35,35-39,314683,SC,South Atlantic,22179956,11,3.495581267497767e-5,-10.261425789093709
1999,35,35-39,323273,KY,East South Central,22179956,9,2.784024647898216e-5,-10.48902786912553
1999,35,35-39,342932,AL,East South Central,22179956,6,1.7496180000699848e-5,-10.953527986536885
1999,35,35-39,348414,LA,West South Central,22179956,8,2.2961189848857967e-5,-10.681705165170206
1999,35,35-39,371857,CO,Mountain,22179956,26,6.99193507181524e-5,-9.568168112727724
1999,35,35-39,393281,AZ,Mountain,22179956,33,8.390946931074727e-5,-9.385772086607751
